0	1	1	7	31	31	31	31	31
0	1	1	8	49	49	49	49	49
0	1	1	9	21	21	21	21	21
0	2	1	10	46	23	4	18	91
0	2	1	11	50	75	95	80	1
0	2	1	12	4	2	1	2	8
0	3	1	4	46	23	4	18	91
0	3	1	5	50	75	95	80	1
0	3	1	6	4	2	1	2	8
0	4	2	10	46	23	4	18	91
0	4	2	11	50	75	95	80	1
0	4	2	12	4	2	1	2	8
0	5	2	4	46	23	4	18	91
0	5	2	5	50	75	95	80	1
0	5	2	6	4	2	1	2	8
0	6	3	10	46	23	4	18	91
0	6	3	11	50	75	95	80	1
0	6	3	12	4	2	1	2	8
0	7	3	4	46	23	4	18	91
0	7	3	5	50	75	95	80	1
0	7	3	6	4	2	1	2	8
0	8	4	10	46	23	4	18	91
0	8	4	11	50	75	95	80	1
0	8	4	12	4	2	1	2	8
0	9	4	4	46	23	4	18	91
0	9	4	5	50	75	95	80	1
0	9	4	6	4	2	1	2	8
0	10	4	1	31	31	31	31	31
0	10	4	2	49	49	49	49	49
0	10	4	3	21	21	21	21	21
1	4	2	7	30	30	54	27	3
1	4	2	8	50	50	10	55	95
1	4	2	9	20	20	36	18	2
1	8	2	7	31	31	31	31	31
1	8	2	8	49	49	49	49	49
1	8	2	9	21	21	21	21	21
1	12	2	7	30	30	54	27	3
1	12	2	8	50	50	10	55	95
1	12	2	9	20	20	36	18	2
2	2	1	1	31	31	31	31	31
2	2	1	2	49	49	49	49	49
2	2	1	3	21	21	21	21	21
2	4	3	7	30	30	54	27	3
2	4	3	8	50	50	10	55	95
2	4	3	9	20	20	36	18	2
2	6	1	1	30	30	54	27	3
2	6	1	2	50	50	10	55	95
2	6	1	3	20	20	36	18	2
2	8	3	7	31	31	31	31	31
2	8	3	8	49	49	49	49	49
2	8	3	9	21	21	21	21	21
2	10	1	1	30	30	54	27	3
2	10	1	2	50	50	10	55	95
2	10	1	3	20	20	36	18	2
2	12	3	7	30	30	54	27	3
2	12	3	8	50	50	10	55	95
2	12	3	9	20	20	36	18	2
3	2	2	1	31	31	31	31	31
3	2	2	2	49	49	49	49	49
3	2	2	3	21	21	21	21	21
3	4	4	7	30	30	54	27	3
3	4	4	8	50	50	10	55	95
3	4	4	9	20	20	36	18	2
3	6	2	1	30	30	54	27	3
3	6	2	2	50	50	10	55	95
3	6	2	3	20	20	36	18	2
3	8	4	7	31	31	31	31	31
3	8	4	8	49	49	49	49	49
3	8	4	9	21	21	21	21	21
3	10	2	1	30	30	54	27	3
3	10	2	2	50	50	10	55	95
3	10	2	3	20	20	36	18	2
3	12	4	7	30	30	54	27	3
3	12	4	8	50	50	10	55	95
3	12	4	9	20	20	36	18	2
4	2	3	1	31	31	31	31	31
4	2	3	2	49	49	49	49	49
4	2	3	3	21	21	21	21	21
4	6	3	1	30	30	54	27	3
4	6	3	2	50	50	10	55	95
4	6	3	3	20	20	36	18	2
4	10	3	1	30	30	54	27	3
4	10	3	2	50	50	10	55	95
4	10	3	3	20	20	36	18	2
